server_rack_count,ambient_temp_c,compute_load_pct,is_liquid_cooled,cooling_power_kw
6,36.6,57.5,1,161.92
43,24.7,97.7,0,84.12
38,31.7,88.3,1,202.97
49,44.4,84.8,1,211.16
32,43.9,31.9,1,125.22
41,29.0,43.7,1,129.92
8,28.4,71.3,0,94.24
29,42.0,32.2,0,42.0
12,20.2,91.4,0,146.63
31,20.1,74.2,1,155.04
23,39.1,86.5,0,168.36
43,40.3,39.5,1,149.58
29,38.9,45.4,0,54.25
23,27.4,90.5,0,125.21
22,24.2,34.1,0,32.78
21,36.1,34.7,1,123.85
6,38.4,47.4,1,168.84
5,44.4,86.3,1,265.52
46,41.7,71.8,0,77.18
7,43.3,33.5,0,30.44
8,31.7,42.7,1,158.49
14,28.5,72.7,0,105.38
47,30.3,61.8,1,169.19
15,29.4,69.1,1,205.79
31,40.6,53.1,0,74.51
