server_rack_count,ambient_temp_c,compute_load_pct,is_liquid_cooled,cooling_power_kw
47,85.5,53.0,0,102.72
58,47.2,69.2,0,67.08
33,39.4,60.4,0,86.39
93,89.7,42.4,1,134.4
83,35.5,51.0,1,98.49
67,84.5,41.2,1,147.65
51,63.8,86.3,1,236.35
66,65.0,61.8,1,190.54
40,35.4,40.4,1,87.65
57,59.9,98.1,0,130.71
72,88.3,96.6,1,261.59
95,78.3,65.1,0,71.22
79,45.2,41.8,0,5.0
86,33.6,47.6,1,68.02
100,53.4,87.6,0,60.6
96,43.7,36.7,1,68.92
68,35.1,41.2,1,83.09
98,82.7,93.0,1,225.28
91,33.8,52.3,0,5.0
93,66.1,59.8,1,129.69
